Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Malta,31.0,2.5,0.45057471299999996,0.002873563,0.35862069,0.08908046,522000.0
Mauritania,11.3,10.4,0.156473118,0.0034623659999999997,0.146774194,0.006236559,4650000.0
Mauritius,11.5,6.5,0.028537549,0.000790514,0.026482212999999998,0.0012648219999999999,1265000.0
Mexico,28.4,3.6,0.523022568,0.055418962,0.436162671,0.031440935,127792000.0
Mongolia,19.6,13.4,0.009253198,0.0,0.008925915,0.000327284,3361000.0
Montenegro,24.9,2.5,1.079099678,0.019292605,0.724598071,0.335209003,622000.0
Morocco,25.6,3.4,0.241115932,0.004389186,0.187828215,0.048898530999999995,35952000.0
Mozambique,6.0,27.9,0.016906243999999997,0.00011230200000000001,0.009497529000000001,0.007296413000000002,31166000.0
Myanmar,5.7,10.6,0.0,0.0,0.0,0.0,54704000.0
Namibia,15.0,27.3,0.38248721,0.003974813,0.257497048,0.12101534800000001,2541000.0
Nepal,3.8,8.7,0.18055407399999998,0.0011501530000000001,0.129007201,0.05039672,29996000.0
Netherlands,23.1,2.5,0.491647106,0.036022213,0.011656266,0.443968627,17467000.0
New Caledonia,18.645238095238085,7.1,0.0,0.0,0.0,0.0,295000.0
New Zealand,32.0,2.5,0.03605374,0.000481251,0.033647483,0.001925005,4987000.0
Nicaragua,21.8,17.0,0.07304426900000001,0.002183141,0.044163129,0.026697999,6596000.0
Niger,4.7,16.5,0.00487825,0.00028525400000000003,0.004564058,2.89388e-05,24189000.0
Nigeria,7.8,13.4,0.027290191000000002,0.000524886,0.021418452999999997,0.005346851999999999,206140000.0
North Macedonia,23.9,3.2,0.759182692,0.031153846000000002,0.633846154,0.094182692,2080000.0
Norway,25.0,2.5,0.225617227,0.00491925,0.19251902699999998,0.028178949,5387000.0
Oman,22.9,6.8,1.904222364,0.016549968,1.777445364,0.11022703199999999,4713000.0
Pakistan,7.8,20.3,0.136697746,0.00288902,0.131169548,0.002639178,220940000.0
Panama,22.5,10.0,2.375554518,0.050572029000000004,1.730259164,0.594723325,4283000.0
Paraguay,19.0,10.7,0.38341833200000003,0.007236389,0.196940041,0.17924190199999998,7255000.0
Peru,19.1,9.7,2.202144772,0.092999025,1.7040001219999998,0.405145625,32824000.0
Philippines,6.0,13.3,0.238377091,0.00398883,0.189419699,0.044968562000000004,109581000.0
Poland,25.6,2.5,0.19326522100000001,0.0057026690000000005,0.15809789400000002,0.029464657999999998,38368000.0
Portugal,23.2,2.5,0.623920039,0.018205753,0.429731838,0.175982448,10255000.0
Republic of Moldova,20.1,8.5,1.215785007,0.031768034,0.861018388,0.32299858600000003,3535000.0
Romania,24.5,2.5,0.537887844,0.02163609,0.22361103899999998,0.292640715,19241000.0
Russian Federation,25.7,2.5,0.721735397,0.01261952,0.595424342,0.113691535,146733000.0
Rwanda,4.8,36.8,0.035446263,0.000169858,0.019734404,0.015542001000000001,12952000.0
Saint Kitts and Nevis,23.1,11.382530120481928,0.031481481,0.0,0.031481481,0.0,54000.0
Saint Lucia,19.8,11.382530120481928,0.014835165,0.0,0.014285714,0.000549451,182000.0
Saint Vincent and the Grenadines,23.8,5.7,0.057657658,0.0,0.054954955,0.002702703,111000.0
Samoa,45.5,2.7,0.0,0.0,0.0,0.0,200000.0
Sao Tome and Principe,10.6,7.0,0.43142857100000004,0.007142857,0.41428571399999997,0.01,210000.0
Saudi Arabia,35.0,7.1,0.92934277,0.012180018,0.864330356,0.052832396,35041000.0
Senegal,7.4,11.3,0.08528428099999999,0.00177377,0.062828476,0.020682035,16744000.0
Serbia,23.5,5.7,0.465832974,0.0105,0.0,0.45529682299999996,6957000.0
Sierra Leone,7.5,25.6,0.026438511,0.000902595,0.020508963,0.005026952,7977000.0
Slovakia,22.4,3.4,0.101281582,0.0006957160000000001,0.05719516700000001,0.043390699000000005,5462000.0
Slovenia,22.5,2.5,0.17603423699999998,0.006419401,0.129814551,0.039800285,2103000.0
